id,date,error,region,calcurve,Period,Site,Feature
cc179,2831,27,Chungcheong,intcal13,Mumun,Asan Yongduri Sangol,II-1-2
cc180,2865,36,Chungcheong,intcal13,Mumun,Asan Yongduri Sangol,II-1-4
cc181,2830,36,Chungcheong,intcal13,Mumun,Asan Yongduri Sangol,II-1-5
cc182,2880,50,Chungcheong,intcal13,Mumun,Asan Yongduri Sangol,II-1-8
cc183,2795,21,Chungcheong,intcal13,Mumun,Asan Yongduri Sangol,II-1-9
cc244,2810,50,Chungcheong,intcal13,Mumun,Asan Yonghwadong Gajaegol,I-13
cc245,2850,50,Chungcheong,intcal13,Mumun,Asan Yonghwadong Gajaegol,I-22
cc246,2480,60,Chungcheong,intcal13,Mumun,Asan Yonghwadong Gajaegol,I-23
cc247,2752,43,Chungcheong,intcal13,Mumun,Asan Yonghwadong Gajaegol,I-24
cc248,2840,60,Chungcheong,intcal13,Mumun,Asan Yonghwadong Gajaegol,II-3-1
cc249,2920,60,Chungcheong,intcal13,Mumun,Asan Yonghwadong Gajaegol,II-3-2
cc250,2830,50,Chungcheong,intcal13,Mumun,Asan Yonghwadong Gajaegol,II-3-3
cc251,2870,50,Chungcheong,intcal13,Mumun,Asan Yonghwadong Gajaegol,II-3-4
cc430,2850,50,Chungcheong,intcal13,Mumun,Baeksukdong,94-B-13
cc431,2820,60,Chungcheong,intcal13,Mumun,Baeksukdong,94-B-14
cc427,2780,60,Chungcheong,intcal13,Mumun,Baeksukdong,94-B-15
cc429,2595,43,Chungcheong,intcal13,Mumun,Baeksukdong,94-B-19
cc428,2690,60,Chungcheong,intcal13,Mumun,Baeksukdong,94-B-2
cc433,2805,39,Chungcheong,intcal13,Mumun,Baeksukdong,95-II-2
cc432,2683,35,Chungcheong,intcal13,Mumun,Baeksukdong,95-II-7
cc435,2760,60,Chungcheong,intcal13,Mumun,Baeksukdong,95-III-1
cc434,2785,35,Chungcheong,intcal13,Mumun,Baeksukdong,95-III-5
neo138,4529,27,Chungcheong,intcal13,Chulmun,Boryeong Gwanchangri,no 2
neo146,4438,70,Chungcheong,intcal13,Chulmun,Boryeong Gwanchangri,no 47
cc506,2545,29,Chungcheong,intcal13,Mumun,Boryeong Jinjukri,no 1
cc507,2445,34,Chungcheong,intcal13,Mumun,Boryeong Jinjukri,no 3
cc508,2323,30,Chungcheong,intcal13,Mumun,Boryeong Jinjukri,no 4
cc509,2489,34,Chungcheong,intcal13,Mumun,Boryeong Jinjukri,no 6
cc531,2510,70,Chungcheong,intcal13,Mumun,Boryeong Jinjukri,no 8-1
cc532,2460,40,Chungcheong,intcal13,Mumun,Boryeong Jinjukri,no 8-2
cc533,2390,60,Chungcheong,intcal13,Mumun,Boryeong Jinjukri,no 8-3
cc510,2467,27,Chungcheong,intcal13,Mumun,Boryeong Jinjukri,no 9
gg95,2690,50,Gyeonggi,intcal13,Mumun,Bucheon Gogangdong,no 10
gg96,2910,70,Gyeonggi,intcal13,Mumun,Bucheon Gogangdong,no 12
gg97,2851,34,Gyeonggi,intcal13,Mumun,Bucheon Gogangdong,no 13
gg98,2840,80,Gyeonggi,intcal13,Mumun,Bucheon Gogangdong,no 14
cc307,2790,60,Chungcheong,intcal13,Mumun,Buyeo Gajungri Sanjikri,no 2
cc73,2480,35,Chungcheong,intcal13,Mumun,Buyeo Jeungsanri,I-3
cc74,2510,35,Chungcheong,intcal13,Mumun,Buyeo Jeungsanri,I-6
cc75,2590,60,Chungcheong,intcal13,Mumun,Buyeo Jeungsanri,I-7
cc71,2708,30,Chungcheong,intcal13,Mumun,Buyeo Nabokri,no 4
cc521,2444,45,Chungcheong,intcal13,Mumun,Buyeo Nabokri,no 8
cc153,2550,50,Chungcheong,intcal13,Mumun,"Buyeo Nabokri Tongsil, Seokuri, Wonmunri",Mumun 1
cc154,2570,60,Chungcheong,intcal13,Mumun,"Buyeo Nabokri Tongsil, Seokuri, Wonmunri",Mumun 2
cc438,2356,39,Chungcheong,intcal13,Mumun,Buyeo Songgukri,zone 54 no 26
cc437,2500,60,Chungcheong,intcal13,Mumun,Buyeo Songgukri,zone 54 no 38
cc439,2590,50,Chungcheong,intcal13,Mumun,Buyeo Songgukri,zone 54 no 39
cc440,2220,60,Chungcheong,intcal13,Mumun,Buyeo Songgukri,zone 54 no 43
cc441,2520,50,Chungcheong,intcal13,Mumun,Buyeo Songgukri,zone 54 no 48
cc511,2485,32,Chungcheong,intcal13,Mumun,Buyeo Songgukri 14,no 23
cc512,2466,29,Chungcheong,intcal13,Mumun,Buyeo Songgukri 14,no 51
cc513,2510,29,Chungcheong,intcal13,Mumun,Buyeo Songgukri 14,no 52
cc514,2448,32,Chungcheong,intcal13,Mumun,Buyeo Songgukri 14,no 67
cc515,2440,40,Chungcheong,intcal13,Mumun,Buyeo Songgukri 14,no 68
cc516,2418,32,Chungcheong,intcal13,Mumun,Buyeo Songgukri 14,no 70
yn292,2775,16,Yeongnam,intcal13,Mumun,Changnyung Sachangri,1
yn463,2380,60,Yeongnam,intcal13,Mumun,Changnyung Yongjamri,1
yn464,2320,50,Yeongnam,intcal13,Mumun,Changnyung Yongjamri,10
gw95,2790,24,Gangwon,intcal13,Mumun,Cheolwon Wasuri,1
gw96,3056,25,Gangwon,intcal13,Mumun,Cheolwon Wasuri,2
cc271,2890,40,Chungcheong,intcal13,Mumun,Cheonan Baekseokdong Gojaemigol,I-2
cc272,2890,40,Chungcheong,intcal13,Mumun,Cheonan Baekseokdong Gojaemigol,I-3
cc274,2770,40,Chungcheong,intcal13,Mumun,Cheonan Baekseokdong Gojaemigol,II-18
cc275,2830,40,Chungcheong,intcal13,Mumun,Cheonan Baekseokdong Gojaemigol,II-25
cc276,2930,40,Chungcheong,intcal13,Mumun,Cheonan Baekseokdong Gojaemigol,II-26
cc277,2870,40,Chungcheong,intcal13,Mumun,Cheonan Baekseokdong Gojaemigol,II-29
cc273,2800,40,Chungcheong,intcal13,Mumun,Cheonan Baekseokdong Gojaemigol,II-3
cc278,2770,40,Chungcheong,intcal13,Mumun,Cheonan Baekseokdong Gojaemigol,II-35
cc279,2820,40,Chungcheong,intcal13,Mumun,Cheonan Baekseokdong Gojaemigol,II-40
cc283,2830,40,Chungcheong,intcal13,Mumun,Cheonan Baekseokdong Gojaemigol,III-13
cc284,2950,40,Chungcheong,intcal13,Mumun,Cheonan Baekseokdong Gojaemigol,III-16
cc285,2530,40,Chungcheong,intcal13,Mumun,Cheonan Baekseokdong Gojaemigol,III-20
cc286,2910,40,Chungcheong,intcal13,Mumun,Cheonan Baekseokdong Gojaemigol,III-21
cc287,2540,40,Chungcheong,intcal13,Mumun,Cheonan Baekseokdong Gojaemigol,III-22
cc288,2520,40,Chungcheong,intcal13,Mumun,Cheonan Baekseokdong Gojaemigol,III-24
cc289,2560,40,Chungcheong,intcal13,Mumun,Cheonan Baekseokdong Gojaemigol,III-26
cc290,2610,40,Chungcheong,intcal13,Mumun,Cheonan Baekseokdong Gojaemigol,III-30
cc280,2810,40,Chungcheong,intcal13,Mumun,Cheonan Baekseokdong Gojaemigol,III-4
cc281,2790,40,Chungcheong,intcal13,Mumun,Cheonan Baekseokdong Gojaemigol,III-7
cc282,2750,40,Chungcheong,intcal13,Mumun,Cheonan Baekseokdong Gojaemigol,III-8
cc291,2640,40,Chungcheong,intcal13,Mumun,Cheonan Baekseokdong Gojaemigol,IV-1
cc294,2830,40,Chungcheong,intcal13,Mumun,Cheonan Baekseokdong Gojaemigol,IV-15
cc295,2930,40,Chungcheong,intcal13,Mumun,Cheonan Baekseokdong Gojaemigol,IV-17
cc296,2940,40,Chungcheong,intcal13,Mumun,Cheonan Baekseokdong Gojaemigol,IV-19
cc297,2820,40,Chungcheong,intcal13,Mumun,Cheonan Baekseokdong Gojaemigol,IV-21
cc298,2590,40,Chungcheong,intcal13,Mumun,Cheonan Baekseokdong Gojaemigol,IV-27
cc292,2880,40,Chungcheong,intcal13,Mumun,Cheonan Baekseokdong Gojaemigol,IV-4
cc293,2780,40,Chungcheong,intcal13,Mumun,Cheonan Baekseokdong Gojaemigol,IV-7
cc85,2845,36,Chungcheong,intcal13,Mumun,Cheonan Baekseokdong Saegaragol,II-1
cc345,2810,35,Chungcheong,intcal13,Mumun,Cheonan Buldangdong,II-10
cc346,2670,35,Chungcheong,intcal13,Mumun,Cheonan Buldangdong,II-12
cc347,2310,80,Chungcheong,intcal13,Mumun,Cheonan Buldangdong,II-19
cc344,2830,35,Chungcheong,intcal13,Mumun,Cheonan Buldangdong,II-2
cc351,2834,39,Chungcheong,intcal13,Mumun,Cheonan Buldangdong,III-13
cc348,2834,39,Chungcheong,intcal13,Mumun,Cheonan Buldangdong,III-3
cc349,2708,40,Chungcheong,intcal13,Mumun,Cheonan Buldangdong,III-6
cc350,2747,40,Chungcheong,intcal13,Mumun,Cheonan Buldangdong,III-9
cc502,2786,25,Chungcheong,intcal13,Mumun,Cheonan Bulmugol,C KC001
cc113,2546,91,Chungcheong,intcal13,Mumun,Cheonan Daeheungri,2
cc496,2560,60,Chungcheong,intcal13,Mumun,Cheonan Daehwari Sinpungri,KC-003
cc497,3010,60,Chungcheong,intcal13,Mumun,Cheonan Daehwari Sinpungri,KC-004
cc498,3000,60,Chungcheong,intcal13,Mumun,Cheonan Daehwari Sinpungri,KC-005
cc499,2810,60,Chungcheong,intcal13,Mumun,Cheonan Daehwari Sinpungri,KC-006
cc500,2770,60,Chungcheong,intcal13,Mumun,Cheonan Daehwari Sinpungri,KC-009
cc501,2840,60,Chungcheong,intcal13,Mumun,Cheonan Daehwari Sinpungri,KC-010
cc443,2930,60,Chungcheong,intcal13,Mumun,Cheonan Dujeongdong C-D,3
cc110,2835,36,Chungcheong,intcal13,Mumun,Cheonan Samgokri,2
cc111,2780,50,Chungcheong,intcal13,Mumun,Cheonan Samgokri,3
cc360,2740,40,Chungcheong,intcal13,Mumun,Cheonan Sinbangdong district 3,I-14
cc361,2810,60,Chungcheong,intcal13,Mumun,Cheonan Sinbangdong district 3,I-21
cc362,2360,40,Chungcheong,intcal13,Mumun,Cheonan Sinbangdong district 3,II-1
cc364,2820,50,Chungcheong,intcal13,Mumun,Cheonan Sinbangdong district 3,II-11
cc365,2890,60,Chungcheong,intcal13,Mumun,Cheonan Sinbangdong district 3,II-17
cc366,2930,60,Chungcheong,intcal13,Mumun,Cheonan Sinbangdong district 3,II-19
cc363,2850,60,Chungcheong,intcal13,Mumun,Cheonan Sinbangdong district 3,II-2
cc114,2704,35,Chungcheong,intcal13,Mumun,Cheonan Ssangyongdong,zone 3 no 1
cc115,2500,50,Chungcheong,intcal13,Mumun,Cheonan Ssangyongdong,zone 3 no 5
cc116,2347,50,Chungcheong,intcal13,Mumun,Cheonan Ssangyongdong,zone 4 no 1
cc317,2780,36,Chungcheong,intcal13,Mumun,Cheonan Yonggokdong Duteogol,1
cc318,2785,29,Chungcheong,intcal13,Mumun,Cheonan Yonggokdong Duteogol,2
cc319,2840,50,Chungcheong,intcal13,Mumun,Cheonan Yonggokdong Duteogol,3
cc320,2770,50,Chungcheong,intcal13,Mumun,Cheonan Yonggokdong Duteogol,4
cc130,2778,21,Chungcheong,intcal13,Mumun,Cheonan Yuri,Mumun 1
yn326,2830,40,Yeongnam,intcal13,Mumun,Cheongdo Jinrari,3
yn327,3000,40,Yeongnam,intcal13,Mumun,Cheongdo Jinrari,8
yn328,2700,40,Yeongnam,intcal13,Mumun,Cheongdo Jinrari,17
yn329,2890,60,Yeongnam,intcal13,Mumun,Cheongdo Jinrari,19
yn330,2910,80,Yeongnam,intcal13,Mumun,Cheongdo Jinrari,64
yn331,2980,60,Yeongnam,intcal13,Mumun,Cheongdo Jinrari,71
yn456,3040,50,Yeongnam,intcal13,Mumun,Cheongdo Jinrari 933,1
yn454,2980,50,Yeongnam,intcal13,Mumun,Cheongdo Jinrari 933,23
yn452,2930,50,Yeongnam,intcal13,Mumun,Cheongdo Jinrari 933,36
yn455,3020,50,Yeongnam,intcal13,Mumun,Cheongdo Jinrari 933,38
yn453,2960,60,Yeongnam,intcal13,Mumun,Cheongdo Jinrari 933,41
yn457,3040,50,Yeongnam,intcal13,Mumun,Cheongdo Jinrari 933,42
cc70,3050,80,Chungcheong,intcal13,Mumun,Cheongju Bijadong 1,2
cc55,2950,60,Chungcheong,intcal13,Mumun,Cheongju Bijadong 2,4
cc56,2894,25,Chungcheong,intcal13,Mumun,Cheongju Bijadong 2,5
cc57,2830,50,Chungcheong,intcal13,Mumun,Cheongju Bijadong 2,6
cc58,2870,60,Chungcheong,intcal13,Mumun,Cheongju Bijadong 2,7
cc59,2810,60,Chungcheong,intcal13,Mumun,Cheongju Bijadong 2,8
cc60,2470,50,Chungcheong,intcal13,Mumun,Cheongju Bijadong 2,9
cc447,2450,70,Chungcheong,intcal13,Mumun,Cheongju Bongmyungdong,B-4
cc446,2760,80,Chungcheong,intcal13,Mumun,Cheongju Bongmyungdong,B-6
neo142,4490,100,Chungcheong,intcal13,Chulmun,Cheongju Bongmyungdong,zone 4 no 1
cc50,2580,60,Chungcheong,intcal13,Mumun,Cheongju Gagyungdong,1
cc51,2720,40,Chungcheong,intcal13,Mumun,Cheongju Gagyungdong,2
cc52,2760,40,Chungcheong,intcal13,Mumun,Cheongju Gagyungdong,5
cc217,2960,50,Chungcheong,intcal13,Mumun,Cheongju Gangseodong,Mumun 1
cc218,3050,80,Chungcheong,intcal13,Mumun,Cheongju Gangseodong,Mumun 2
cc53,2941,35,Chungcheong,intcal13,Mumun,Cheongju Undongdong,1
cc54,2915,43,Chungcheong,intcal13,Mumun,Cheongju Undongdong,3
cc222,2930,50,Chungcheong,intcal13,Mumun,Cheongju Yongam I,I-1
cc223,2900,50,Chungcheong,intcal13,Mumun,Cheongju Yongam I,II-1
cc224,2774,36,Chungcheong,intcal13,Mumun,Cheongju Yongam I,II-4
cc503,2470,40,Chungcheong,intcal13,Mumun,Cheongwon Gungpyeongri,A-KC001
cc504,2470,40,Chungcheong,intcal13,Mumun,Cheongwon Gungpyeongri,B-KC005
cc505,2440,40,Chungcheong,intcal13,Mumun,Cheongwon Gungpyeongri,B-KC007
cc159,2570,50,Chungcheong,intcal13,Mumun,Cheongwon Ssangcheongri,I-1
cc161,2510,60,Chungcheong,intcal13,Mumun,Cheongwon Ssangcheongri,II-10
cc162,2550,60,Chungcheong,intcal13,Mumun,Cheongwon Ssangcheongri,II-13
cc160,2460,50,Chungcheong,intcal13,Mumun,Cheongwon Ssangcheongri,II-7
cc163,2790,60,Chungcheong,intcal13,Mumun,Cheongwon Ssangcheongri,III-A-9
cc164,2470,50,Chungcheong,intcal13,Mumun,Cheongwon Ssangcheongri,III-B-1
cc168,3100,80,Chungcheong,intcal13,Mumun,Cheongwon Ssangcheongri,III-B-18
cc165,2670,60,Chungcheong,intcal13,Mumun,Cheongwon Ssangcheongri,III-B-2
cc166,2540,60,Chungcheong,intcal13,Mumun,Cheongwon Ssangcheongri,III-B-8
cc167,2560,60,Chungcheong,intcal13,Mumun,Cheongwon Ssangcheongri,III-B-9
neo154,4254,26,Chungcheong,intcal13,Chulmun,Cheongwon Yeonghari,1
cc33,2440,50,Chungcheong,intcal13,Mumun,Cheongyang Gwangamri,1
cc34,2450,50,Chungcheong,intcal13,Mumun,Cheongyang Gwangamri,2
cc35,2480,50,Chungcheong,intcal13,Mumun,Cheongyang Gwangamri,4
cc36,2465,36,Chungcheong,intcal13,Mumun,Cheongyang Gwangamri,7
gw86,2460,60,Gangwon,intcal13,Mumun,Cheonjeonri,A-11
gw87,2616,43,Gangwon,intcal13,Mumun,Cheonjeonri,A-13
gw88,2580,39,Gangwon,intcal13,Mumun,Cheonjeonri,A-15
gw89,2646,39,Gangwon,intcal13,Mumun,Cheonjeonri,A-18
gw90,2600,43,Gangwon,intcal13,Mumun,Cheonjeonri,A-47
gw91,2900,60,Gangwon,intcal13,Mumun,Cheonjeonri,A-59
gw84,2470,60,Gangwon,intcal13,Mumun,Cheonjeonri,A-6
gw92,2410,50,Gangwon,intcal13,Mumun,Cheonjeonri,A-63
gw93,2470,50,Gangwon,intcal13,Mumun,Cheonjeonri,A-67
gw94,2600,50,Gangwon,intcal13,Mumun,Cheonjeonri,A-72
gw85,2560,50,Gangwon,intcal13,Mumun,Cheonjeonri,A-9
neo026,3730,60,Gangwon,intcal13,Chulmun,Cheonjeonri,Cheonjeon-7
gw191,2951,31,Gangwon,intcal13,Mumun,Chuncheon Bukhangang Embankment Reconstruction site (Sinmae),1
gw192,2705,36,Gangwon,intcal13,Mumun,Chuncheon Bukhangang Embankment Reconstruction site (Sinmae),2
gw193,2672,36,Gangwon,intcal13,Mumun,Chuncheon Bukhangang Embankment Reconstruction site (Sinmae),3
gw194,2530,50,Gangwon,intcal13,Mumun,Chuncheon Bukhangang Embankment Reconstruction site (Sinmae),5
gw125,2918,39,Gangwon,intcal13,Mumun,Chuncheon Cheonjeonri 121-16,no 10
gw126,3020,80,Gangwon,intcal13,Mumun,Chuncheon Cheonjeonri 121-16,no 2
gw127,2805,36,Gangwon,intcal13,Mumun,Chuncheon Cheonjeonri 121-16,no 7
gw128,2800,60,Gangwon,intcal13,Mumun,Chuncheon Cheonjeonri 121-16,no 8
gw129,2500,40,Gangwon,intcal13,Mumun,Chuncheon Cheonjeonri Yulmunri,Mumun 15
gw130,2910,50,Gangwon,intcal13,Mumun,Chuncheon Cheonjeonri Yulmunri,Mumun 16
gw131,2480,50,Gangwon,intcal13,Mumun,Chuncheon Cheonjeonri Yulmunri,Mumun 18
gw132,2810,50,Gangwon,intcal13,Mumun,Chuncheon Cheonjeonri Yulmunri,Mumun 19
gw133,2930,50,Gangwon,intcal13,Mumun,Chuncheon Cheonjeonri Yulmunri,Mumun 24
gw134,2560,50,Gangwon,intcal13,Mumun,Chuncheon Cheonjeonri Yulmunri,Mumun 29
gw135,2580,40,Gangwon,intcal13,Mumun,Chuncheon Cheonjeonri Yulmunri,Mumun 30
gw136,2490,50,Gangwon,intcal13,Mumun,Chuncheon Cheonjeonri Yulmunri,Mumun 34
