"Sources.x","Concd13C16","Concd13C18","Observaton","Sources.y","d13C16","d13C18"
"Marine",0.143767977643957,0.059683738937438,26,"Marine",-24.6,-22.9
"Marine",0.162413665374623,0.0345573095483821,27,"Marine",-24.7,-23.7
"Marine",0.0817646044635976,0.0444251053536324,28,"Marine",-28.01,-28.72
"Marine",0.145093258132919,0.0680692500787389,29,"Marine",-25.22,-26.79
"Marine",0.186808517926246,0.0400531412547624,30,"Marine",-26.01,-27.33
"Marine",0.0845705892933774,0.0815252389376254,31,"Marine",-26.74,-26.72
"Marine",0.0824209703550108,0.0694226157291854,32,"Marine",-27.64,-27.88
"Marine",0.135492526832682,0.0542138055074418,33,"Marine",-25.83,-26.24
"Marine",0.18372113745319,0.0208906843527495,34,"Marine",-25.02,-23.31
"Marine",0.118520754948538,0.0158027055955603,35,"Marine",-26.72,-25.28
"Marine",0.158449799473859,0.0390768208323547,36,"Marine",-24.26,-24.64
"Marine",0.139825790770266,0.0235204480354282,37,"Marine",-28.57,-29.08
"Marine",0.143003620588993,0.0411816655825551,38,"Marine",-25.76,-24.75
"Marine",0.169484046138346,0.0201885709858111,39,"Marine",-24.62,-23.54
"Marine",0.194668544568214,0.0167589008120948,40,"Marine",-26.62,-25.61
"Millet",0.114884923966461,0.0376106451482175,41,"Millet",-19.4080582078885,-18.4173759478885
"Millet",0.119679660017374,0.0286931333777856,42,"Millet",-19.7985859878885,-18.7768512578885
"Millet",0.105670055366657,0.0483653539817638,43,"Millet",-19.4,-19.5
"Millet",0.137460860428073,0.0241738865634626,44,"Millet",-19.5,-20
"Millet",0.142296675150882,0.035326531726322,45,"Millet",-17.8,-17.4
"Millet",0.136495224455492,0.0318725146176877,46,"Millet",-19.5,-20
"Millet",0.101714380890908,0.0269344507775495,47,"Millet",-17.8,-17.4
"Millet",0.133592069926338,0.038255912642938,48,"Millet",-19.3,-20
"Millet",0.125825714363299,0.027427899152168,49,"Millet",-17.8,-18.5
"Millet",0.139156984455507,0.0134715938267161,50,"Millet",-17.3,-18.2
"Millet",0.112024825546401,0.0150757698796963,51,"Millet",-15.1,-15.1
"Millet",0.139957841850332,0.0316024529641442,52,"Millet",-15.6,-16.4
"Millet",0.128544863642767,0.0453605761401905,53,"Millet",-15.5,-14
"Millet",0.103096028586844,0.0299155439755732,54,"Millet",-17.1,-15.7
"Millet",0.0980366858180451,0.029499565507081,55,"Millet",-16.3,-15.9
"Millet",0.137270734917023,0.0207208126040379,56,"Millet",-15,-16.3
"Rice",0.230390854768846,0.0145731693836352,57,"Rice",-35.1,-35.5
"Rice",0.138640995594753,0.0214166888187978,58,"Rice",-34.7,-35.1
"Rice",0.237294177764556,0.0211441674252233,59,"Rice",-34,-33.8
"Rice",0.23170096089846,0.023631861364396,60,"Rice",-33.5,-33.7
"Rice",0.259373234941861,0.016749295273238,61,"Rice",-33.1,-33.3
"Rice",0.264459697597221,0.0152828852356003,62,"Rice",-34.3,-33.7
"Rice",0.212280252663473,0.0154710023842093,63,"Rice",-33,-33.2
"Rice",0.266022507471541,0.0167646380950416,64,"Rice",-33.2,-33.7
"Rice",0.198088075653397,0.0145174160536117,65,"Rice",-34.3,-33.8
"Rice",0.250584014361984,0.0204475061862097,66,"Rice",-32.7,-33
"Rice",0.215633262068059,0.0131677492890541,67,"Rice",-32,-32.9
"Rice",0.246457271524582,0.0206029561140431,68,"Rice",-34.1,-33.6
"Rice",0.15985629185051,0.017785043932959,69,"Rice",-32.8,-33.4
"Rice",0.226066431283647,0.0111774234936343,70,"Rice",-31.4,-32.2
"Rice",0.172375652255154,0.0141276628996866,71,"Rice",-31.7,-32.5
"Rice",0.160728622555157,0.0121634786164008,72,"Rice",-31.2,-31.4
"Rice",0.238294114500755,0.00811354376899222,73,"Rice",-32.5,-32.5
"Rice",0.224781185793353,0.0205013116551741,74,"Rice",-32.8,-34.3
"Rice",0.0973372826104161,0.0201285182232714,75,"Rice",-34.1,-35.3
"Rice",0.137517242317947,0.011570652675863,76,"Rice",-33.6,-33.8
"Rice",0.230262475024777,0.0216458402636953,77,"Rice",-33.9,-34.5
"Rice",0.142884275572168,0.016575920891046,78,"Rice",-33,-32.7
"Wild ruminant",0.217360097636298,0.27098439036284,79,"Wild ruminant",-28.74,-28.8
"Wild ruminant",0.193823831551246,0.189866060345403,80,"Wild ruminant",-28.58,-30.21
"Wild ruminant",0.224418790042749,0.260312786207107,81,"Wild ruminant",-31.12,-33.46
"Wild ruminant",0.198811635819039,0.251938402616348,82,"Wild ruminant",-32.46,-34.11
"Wild ruminant",0.206759434239354,0.215761916228819,83,"Wild ruminant",-28.97,-32.53
"Wild ruminant",0.22594086603315,0.187750643486825,84,"Wild ruminant",-29.05,-32.57
"Wild ruminant",0.201730147465993,0.295853266619393,85,"Wild ruminant",-32.44,-33.74
"Wild ruminant",0.222966481183789,0.274726639130092,86,"Wild ruminant",-32.83,-36.03
"Wild ruminant",0.196986188377708,0.276334715620624,87,"Wild ruminant",-29,-32.4
"Wild ruminant",0.219761981780491,0.224571136246206,88,"Wild ruminant",-24.7,-26.6
